feat0,feat1,depth,distance,MMAP
color,glcm,None,d1,0.22533623596892655
color,glcm,300,d1,0.30202084975871696
color,glcm,200,d1,0.32823189917109824
color,glcm,100,d1,0.3778765916754879
color,glcm,50,d1,0.43647648001755446
color,glcm,30,d1,0.48639877388113295
color,glcm,10,d1,0.5899951536785503
color,glcm,5,d1,0.6327297895902547
color,glcm,3,d1,0.6372093023255815
color,glcm,1,d1,0.5601328903654486
